serial no,Registration Number,Date of Grant,Name Factory Address,IS NO,Product,Status,Valid Upto,Models deleted from scope,Brand,View Models
4573,R-41087300,24-Apr-2018,"BarcoTaiwanTechnologyLtd.NO.5,TITANGGANGRD.,XINSHIDISTRICT,TAINANCITY,744,TAIWAN,R.O.C-74148",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Cancelledw.e.f.25July2018,25-Jul-2018,-,BARCO,BVD-5521
4574,R-41037761,05-May-2016,"SONYEMCSCORPORATIONKOSAISITE554SAKAIJUKU,KOSAI-SHISHIZUOKA-431-4996(JAPAN)",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Operative,04-May-2025,-,SONY,"LMD-X550S,LMD-X550ST,LMD-X550MD,LMD-X550NB(followingmodelsincludedon09Nov2016)LMD-X550MT(followingmodelsincludedon21July2017)PVM-X550(followingmodelsincludedon17Apr2018)LMD-X310MD,LMD-X310MT,LMD-X310S,LMD-X310ST(followingmodelsincludedon31Aug2018)LMD-2435MD(followingmodelsincludedon20Sep2018)LMD-2735MD(followingmodelsincludedon26Feb2020)LMD-X3200MD(followingmodelsincludedon26Feb2020)BVM-HX310"
4575,R-41011690,19-Dec-2014,"QISDA(SUZHOU)CO.LTD.169,ZHUJIANGROAD,NEWDISTRICTSUZHOU,JIANGSUPROVINCE,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Operative,18-Dec-2020,,BENQ,"BL3200-B,BL3201-B(followingmodelsincludedon10April2017)EW3270-B(followingmodelsincludedon02Aug2017)SW320-B(FollowingModelsincludedon09Jan2018)RL2755-B,BL702-BA,GL2760-B(followingmodelsincludedon12Jan2018)XL2546-B,EW2775-B,SW2700-B(followingmodelsincludedon12Jan2018)XL2411,XL2536-B,GL2450-B(followingmodelsincludedon23Apr2018)GW2280-B(followingmodelsincludedon26Jul2018)SW240-B(followingmodelsincludedon26Jul2018)EL2870-B(followingmodelsincludedon26Jul2018)EW277-B(followingmodelsincludedon26Jul2018)XL2720-B(followingmodelsincludedon12Sep2018)PD2700U-B(followingmodelsincludedon04Oct2018)PV270-B(followingmodelsincludedon28Jan2019)SW271-B(followingmodelsincludedon25Apr2019)SW270C-B(followingmodelsincludedon21Jun2019)XL2731-B(followingmodelsincludedon16July2019)GW2480-B(followingmodelsincludedon16Aug2019)GL2780-B(followingmodelsincludedon26Aug2019)GL2480-B(followingmodelsincludedon11Oct2019)SW321C-B(followingmodelsincludedon31Jan2020)XL2746-B"
4576,R-41083445,23-Feb-2018,"K-Tronics(Suzhou)TechnologyCo.,Ltd.NO.1088,DAJINGROAD,ECONOMICANDTECHNOLOGICALDEVELOPMENTZONE,WUJIANGDISTRICT,SUZHOU,JIANGSUPROVINCE,215200,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Operative,22-Feb-2025,-,hp,"HSTND-9741-V,HSTND-9751-V,HSTND-9851-V,HP22yhDisplay,HSTND-9831-V,HSTND-9901-V(followingmodelsincludedon10May2018)HSD-0004-V(followingmodelsincludedon14May2018)HSD-0003-V(followingmodelsincludedon27Aug2018)HSD-0005-V(followingmodelsincludedon11Sep2018)HSD-0009-V(followingmodelsincludedon19Sep2018)HSD-0007-V(followingmodelsincludedon19Sep2018)HSD-0008-V(followingmodelsincludedon15May2019)HSD-0041-V(followingmodelsincludedon04Jun2019)HSD-0032-V"
4577,R-41083330,23-Feb-2018,"SuzhouLehuiDisplayCo.,Ltd.NO.225,JINFENGROAD,SUZHOUNEWDISTRICT,SUZHOU,JIANGSU,CHINA215129",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Operative,22-Feb-2022,-,hp,"HSTND-9911-K,HSTND-9921-k,HSTND-9931-K,HSTND-9941-k,HSTND-9951-K(followingmodelsincludedon02Apr2018)HP24eaDisplay(followingmodelsincludedon04Apr2018)HSTND-9161-N(followingmodelsincludedon09Apr2018)HSTND-9141-N(followingmodelsincludedon01Jun2018)HP27eaDisplay,HSTND-9181-N(followingmodelsincludedon19Sep2018)HSD-0020-K(followingmodelsincludedon19Sep2018)HSD-0019-K(followingmodelsincludedon06May2019)HSD-0035-K,HSD-0038-K(followingmodelsincludedon29Oct2019)HSD-0043-K,HSD-0044-K,HSD-0045-K(followingmodelsincludedon08Jun2020)HSD-0072-K"
4578,R-41002738,26-Dec-2013,"QISDAOPTRONICS(SUZHOU)CO.LTD.,NO.169,ZHUJIANGROAD,NEWDISTRICTSUZHOU,JIANGSU,215129P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Operative,25-Dec-2024,,SONY,"LMD-3251MT,LMD-3251ST(followingmodelsincludedon15Jan2018)LMD-2110MD(followingmodelsincludedon29Oct2018)LMD-2451MT(followingmodelsincludedon28Feb2019)LMD-X2700MD,LMD-X2705MD"
4579,R-41018406,10-Aug-2015,"AGILEDISPLAYSOLUTIONSCO.,LTD.NO.50,ZHONGYI1STSTREET,RENDEDISTRICT,TAINANCITY171,TAIWAN",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Expired,09-Aug-2017,,PRYSM,PR-LCDAG-65(followingmodelsincludedon26OCT2015)PR-LCDAG-85
4580,R-41014702,06-May-2015,"EIZOGMBHSIEMENSALLEE84,76187KARLSRUHEGERMANY76187,GERMANY",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Expired,05-May-2017,,EIZO,"6GF6200-8LA01,6GF6200-8LA011,6GF6200-8LB01,6GF6200-8AB01,6GF6200-8AB00,6GF6200-8AB03,6GF6200-8AB04,6GF6200-8AB05(followingmodelsincludedon14June2016)6GF6200-8BA00,6GF6200-8BA01,6GF6200-8BA02,6GF6200-8BA03,6GF6200-8BA04,6GF6200-8BA05,6GF6200-8BA06"
4581,R-41006939,11-Apr-2014,"M2LCOMPANYLIMITED640-22,JUSEOK-RO,BIBONG-MYEON,HWASEONG-SI,GYEONGGI-DO,SOUTHKOREA(445-843)",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Expired,-,,SMART,"MTV700L-IRAU,SPNL-4070"
4582,R-41009539,21-Jul-2014,"LGELECTRONICSNANJINGDISPLAYCO.LTD.346,YAOXINROAD,ECONOMIC&TECHNICALDEVELOPMENTZONE,NANJING210038,CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Expired,-,,BARCO,MVD-5521
4583,R-41000043,25-Jun-2013,"SamsungElectronicsCo.Ltd.129,Samsung-roYeongtong-guSuwon-si,Gyeonggi-do,443-742RepublicofKorea",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Expired,24-Jun-2017,,SAMSUNG,"LH40MDBPLGC/XL,LH46MDDBPLGC/XL,LH40MDCPLGC/XL,LH46MDCPLGC/XL,LH40EDCPLBC/XL,LH46EDCPLBC/XL,LH55DECPLBC/XL,LH55DECPLBQ/XL,LH55PECPLBC/XL,LH46DECPLBC/XL,LH46PECPLBC/XL.(Followingmodelsincludedon25-Jul-2013)LH65EDCPLBC/XL,LH32LECPLBC/XL,LH75EDCPLBC/XL(Followingmodelsincludedon27-Aug-2013)LH32HBPLBC/XL,LH32HBSLBC/XL,LH32HBSLBJ/XL,LH32CRSMBD/XL,LH46CPPLBB/XL,LH46UDCBLBB/XL,LH46UDCPLBB/XL,LH65MDCPLGC/XL,LH65MEBPLGC/XL,LH32MECPLGC/XL,LH75MEBPLGC/XL,LH75MECPLGC/XL,LH55MDPBPLGC/XL,LH55MDCPLGC/XL,LH55EDCPLBC/XL,LH55CPPLBB/XL,LH55UDCPLBB/XL,LH40DECPLBC/XL,LH4ODECPLBO/XL,LH40PECPLBC/XL,LH40HBPLBC/XL,LH40HBPLBJ/XL,LH40CRPMBD/XL,LH40CSPLBC/XL,LH40GWPLBC/XL,LH40GWSLBC/XL,LH55UECPLGC/XL,LH46UECPLGC/XL,LH55MECPLGC/XL,LH32MDBPLGC/XL,LH32MDCPLGC/XL,LH32EDCPLGC/XL,LH40MECPLGC/XL,LH46MECPLGC/XL,LH46LECPLBC/XL,LH55LECPLBC/XL,LH46HBPLBC/XL,LH46CRPMBD/XL,,LH46CSPLBC/XL,LH46GWCPLBC/XL,LH46CBQLBB/XL,LH46CKQLBB/XL,LH46CBSLBB/XL,LH46CKSLBB/XL,LH55CSPLBC/XL,LH32HBPLBC/XL,LH32HBSLBC/XL,LH32HBSLBJ/XL,LH46CRSMBD/XL,LH70CSBPLBC/XL,LH82CSBPLBC/XL(followingmodelsincludedon01Jan2014)LH55UDCBLBB/XL(followingmodelsincludedon29Jan2014)LH46EDDPLGC/XL,LH32EDDPLGC/XL,LH55EDDPLGC/XL,LH55UDDPLBB/XL(followingmodelsincludedon02Apr2014)LH95MECPLBC/XL(followingmodelsincludedon30May2014)LH55DHDPLGC/XL,LH40DHDPLGC/XL,LH48DHDPLGC/XL(followingmodelsincludedon19Jun2014)LH75DMDPLGC/XL(followingmodelsincludedon27Jun2014)LH55QMDPLGC/XL(followingmodelsincludedon01Aug2014)LU32D97KQSN/XL,LH85QMDPLGC/XL(followingmodelsincludedon12Aug2014)LH65DMDPLGC/XL(followingmodelsincludedon10Dec2014)LH55OMDPWBC/XL,LH75OMDPWBC/XL(followingmodelsincludedon19Dec2014)LH460MDPWBC/XL,LH82DMDPLBC/XL(followingmodelsincludedon07Jan2015)LH75OMDPKBC/XL,LH55OMDPKBC/XL,LH46OMDPKBC/XL(followingmodelsincludedon15Apr2015)LH46OHDPKBC/XL(followingmoelsincludedon13May2015)LH48DHEPLGC/XL,LH40DHEPLGC/XL,LH55DHEPLGC/XL(followingmodelsincludedon25May2015)LH55OHDPKBC/XL(followingmodelsincludedon16Jul2015)LH55UDEBLBB/XL,LH55UDEOLBB/XL,LH55UDPBLBB/XL,LH46UDEBLBB/XL,LH46UDPBLBB/XL,LH46UDECLBB/XL(followingmodelsincludedon30Jul2015)LH65DMDPLGC/XL,LH65DMEPLGC/XL,LH75DMDPLGC/XL,LH75DMEPLGC/XL(followingmodelsincludedon01Sep2015)LH55UDEBLLBB/XL,LH55UDEOLBB/XL,LH55UDEPLBB/XL,LH46UDEBLBB/XL,LH46UDECLBB/XL,LH46UDEHLBB/XL(followingmodelsincludedon3Dec2015)LH46UDEPLBB/XL(followingmodelsincludedon13May2016)LH55UHFHLBB/XL(followingmodelsincludedon03Aug2016)LH32MLEPLSC/XL,LH55MLEPLSC/XL"
4584,R-41048836,23-Aug-2016,"Qisda(Suzhou)Co.,Ltd.NO.169ZHUJIANGROAD,NEWDISTRICT,SUZHOU,JIANGSU215129,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR,Operative,22-Aug-2022,-,ASUS,"PG348(followingmodelsincludedon06Feb2018)PG258(followingmodelsincludedon06Feb2018)PG27V(followingmodelsincludedon07Feb2018)PG279(followingmodelsincludedon08Feb2018)VG248(followingmodelsincludedon08Feb2018)PA27A(followingmodelsincludedon09Feb2018)PA329(followingmodelsincludedon31Oct2018)PA24A(followingmodelsincludedon20Mar2019)PA248(followingmodelsincludedon13Jun2019)VG278(followingmodelsincludedon17Jun2019)PG27U(followingmodelsincludedon17Jun2019)VG258(followingmodelsincludedon08May2020)PA329,PA32UCX,VG259,VG279QM,VG27AQ(followingmodelsincludedon10Jun2020)VG27AL1A"
4585,R-41074047,29-Sep-2017,"DARWINPRECISIONS(XIAMEN)CORPORATIONNO.3089NORTHOFXIANGANRD.,XIANGANZONE,XIAMEN,FUJIANPROV.,361102,CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VDU),Operative,28-Sep-2021,-,ACER,"DV653(followingmodelsincludedon12Sep2018)DV553,DV433(followingmodelsincludedon26July2019)DV555K,DV655K"
4586,R-41011533,05-Dec-2014,"QISDA(SUZHOU)CO.LTD.169,ZHUJIANGROAD,NEWDISTRICTSUZHOU,JIANGSUPROVINCE,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VDU),Operative,04-Dec-2020,,DELL,"U3415Wb,U3415W(followingmodelsincludedon19Aug2016)U3417Wb,U3417W(followingmodelsincludedon06July2017)U3818DW,U3818DWb(followingmodelsincludedon15Dec2017)E2016Hb(followingmodelsincludedon15Dec2017)E2418HNb(followingmodelsincludedon15Dec2017)S2240Tb(followingmodelsincludedon15Dec2017)S2417DGb(followingmodelsincludedon15Dec2017)P2415Qb(followingmodelsincludedon15Dec2017)E2417Hb(followingmodelsincludedon15Dec2017)U2415b(followingmodelsincludedon18Dec2017)S2716DGb(followingmodelsincludedon18Dec2017)P2217Hb(followingmodelsincludedon20Dec2017)P2417Hb(followingmodelsincludedon20Dec2017)U2718Qb(followingmodelsincludedon20Dec2017)U2414Hb(followingmodelsincludedon21Dec2017)P2317Hb(followingmodelsincludedon21Dec2017)P2016b(followingmodelsincludedon30May2018)P2419Hb(followingmodelsincludedon31May2018)P2219Hb(followingmodelsincludedon07Jun2018)P2419HCb(followingmodelsincludedon12Jun2018)P2219HCb(followingmodelsincludedon09Jul2018)U3219Qb(followingmodelsincludedon21Aug2018)U3419Wb(followingmodelsincludedon27Aug2018)U4919DWb(followingmodelsincludedon15Oct2019)UP2720Qb(followingmodelsincludedon05Dec2019)E2720Hb(followingmodelsincludedon05Dec2019)E2720HSb(followingmodelsincludedon09Dec2019)U2520Db(followingmodelsincludedon09Dec2019)E2020Hb(followingmodelsincludedon10Feb2020)P2421b(followingmodelsincludedon18Mar2020)S2421HGFb(followingmodelsincludedon29Jun2020)S2721Qb(followingmodelsincludedon08July2020)S2721Db"
4587,R-41010006,14-Aug-2014,"LGELECTRONISINC.77,SANHO-DAERO(GONGDAN-DONG)GUMI-SI,GYEONGSANGBUK-DO,730-906,KOREA,SOUTHKOREA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VDU),Expired,13-Aug-2016,,HP,"HSTND-4091-G,HSTND-3951-G,HSTND-3971-G,HSTND-3941-G,HSTND-3961-G"
4588,R-41045756,22-Jul-2016,"QISDA(SUZHOU)CO.,LTD.169,ZHUJIANGROAD,NEWDISTRICTSUZHOU,JIANGSUPROVINCE,P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VDU),Operative,21-Jul-2022,-,ACER,"Z35(followingmodelsincludedon01Mar2017)B326HK(followingmodelsincludedon20Feb2018)V226HQL,V196L,V196HQL,V176L,S271HL,K272HUL,K202HQL,CB271HK(followingmodelsincludedon16Mar2018)GN246HL(followingmodelsincludedon03Apr2018)XB271HU,XB271HK,R240HY,B246WL(followingmodelsincludedon04Jul2018)K242HYL(followingmodelsincludedon10Sep2018)Z271U(followingmodelsincludedon12Sep2018)B226WL(followingmodelsincludedon09Oct2018)B276HUL(followingmodelsincludedon07Feb2019)B226HQL(followingmodelsincludedon24Jun2019)QG221Q(followingmodelsincludedon24Jun2019)XG270HU(followingmodelsincludedon15July2019)QG271(followingmodelsincludedon05Aug2019)KA270H,V227Q(followingmodelsincludedon25Sep2019)V206HQL"
4589,R-41009601,22-Jul-2014,"TIANJINSAMSUNGELECTRONICSCO.LTD.,NO.20JIANGTAIROAD,THEWESTZONEOFTEDA,TIANJINCHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VDU),Operative,21-Jul-2020,,SAMSUNG,"LS32D85KTSN/XL(followingmodelsincludedon01Aug2014)LU32D97KQSN/XL(followingmodelsincludedon03Sept2014)LH46UDDPUBB/XL(followingmodelsincludedon20Jan2015)LS34E790CN/XL(followingmodelsincludedon27Apr2015)LS32E590CS/XL(followingmodelsincludedon09Jun2015)LH55DMEPLGC/XL,LH55DHEPLGC/XL,LH48DHEPLGC/XL,LH40DHEPLGC/XL,LH55BDEPLGC/XL(followingmodelsincludeon07Aug2015)LH75DMEPLGC/XL(followingmodelsincludeon28Aug2015)LH46UDEBLBB/XL,LH46UDECLBB/XL,LH46DEHLBB/HL,LH55UDEBLBB/XL,LH55UDEOLBB/XL,LH55UDEPLBB/XL(followingmodelsinlcudedon07Sept2015)LH65DMEPLGC/XL(followingmodelsincludedon30OCt2015)LH75DMERTBC/XL,LH65DMERTBC/XL(followingmodelsincludedon3Dec2015)LH55UDEHLBB/XL(followingmodelsincludedon16Feb2016)LH65EDEPLGC/XL,LH65EDE,LH65EMEPLGC/XL,LH65EME,LH75EDEPLGC/XL,LH75EDE,LH75EDE,LH75EMEPLGC/XL,LH75EME(followingmodelsincludedon12May2016)LH32MLEPLSC/XL,LH55MLEPLSC/XL(followingmodelsincludedon29Dec2016)LH65DMEXTBC/XL(followingmodelsincludedon24May2017)LC32H711QEWXXL(followingmodelsincludedon21July2017)LC32HG70QQWXXL(followingmodelsincludedon30Oct2017)LC49HG90DMUXEN(followingmodelsincludedon02Jan2018)LU28E590DS/XL,LC27H711QEWXXL,LC27F390FHWXXL,LC27F591FDWXXL,LC27FG73FQWXXL,LC27FG70FQWXXL,LC24FG70FQWXXL,LC24F390FHWXXL,LC24FG73FQWXXL,LC49HG90DMUXEN,LC32HG70QQWXXL(followingmodelsincludedon05Mar2018)LC49J890DKWXXL(followingmodelsincludedon12Mar2018)LC34H890WJWXXL(followingmodelsincludedon06Apr2018)LH55OHFPVBC/XL,LH55OHFPKBC/XL(followingmodelsincludedon15May2018)LU32H750UMWXXL,LU32J590UQWXXL(followingmodelsincludedon21May2018)LF24FN1PFBZXXL(followingmodelsincludedon16Aug2018)LC32JG50QQWXXL(followingmodelsincludedon20Aug2018)LC32JG51FDWXXL,LC32JG53FDWXXL,LS34J550WQWXXL,LS34J552WQWXXL(followingmodelsincludedon21Aug2018)LC43J890DKWXXL(followingmodelsincludedon21Aug2018)LC27JG50QQWXXL(followingmodelsincludedon01Sep2018)LH55OHDPKBC/XL(followingmodelsincludedon04Sep2018)LC34J791WTWXXL(followingmodelsincludedon07Dec2018)LU32R590CWWXXL(followingmodelsincludedon07Dec2018)LC24F392FHWXXL(followingmodelsincludedon10Jan2019)LC27JG54QQWXXL(followingmodelsincludedon10Jan2019)LC32JG54QQWXXL(followingmodelsincludedon11Feb2019)LC49RG90SSWXXL(followingmodelsincludedon15Mar2019)LC24RG50FQWXXL(followingmodelsincludedon04Apr2019)LS27R750QEWXXL(followingmodelsincludedon10Oct2019)LH55DCEGLGC/XF"
4590,R-41091235,14-Jun-2018,"PosiflexTechnologyInc.4-8F.,NO.23,DATONGST.,TUCHENGDIST.,NEWTAIPEICITY23679,TAIWAN(R.O.C)",IS13252(Part1):2010/IEC60950-1:2005,LCDMonitor(VideoMonitor),Operative,13-Jun-2022,-,POSIFLEX,"LM-3000,TM3015,TM3315,TM3215,TM7117,LM3210,LM4010,TM3010,TM4010,LM6210U(followingmodelsincludedon22July2019)PD-6607,PD-6207,PD-6307,PD-6407,PD-6507,PD-6807,PD-6907"
4591,R-41082341,05-Feb-2018,"TPVDisplayTechnology(Beihai)Co.,Ltd.CHINAELECTRONICBEIHAIINDUSTRYPARK,NORTHEASTOFTHECROSSINGBETWEENTAIWANROADANDJILINROAD,BEIHAICITY,GUANGXI,P.R.CHINA536000",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VIDEOMONITOR),Operative,04-Feb-2023,-,Philips,"193V5LHSB2/94(followingmodelsincludedon24May2018)193V5LSB2/94(followingmodelsincludedon21Dec2018)221S8LHSB(followingmodelsincludedon27Jan2020)241V8,241V8W,221V8(followingmodelsincludedon02Jun2020)223V5LHSB2"
4592,R-41081582,18-Jan-2018,"L&TDisplayTechnology(Fujian)LimitedOPTOELECTRONICPARK,RONGQIAOECONOMICANDTECHNOLOGICALDEVELOPMENTZONE,FUQINGCITY,FUJIANPROVINCE,CHINA350301",IS13252(Part1):2010/IEC60950-1:2005,LCDMonitor(VisualDisplayUnit),Operative,17-Jan-2023,-,AOC,I2279VWHE(followingmodelsincludedon08Oct2018)I2281FWH(followingmodelsincludedon12Dec2018)I2790PQU(followingmodelsincludedon14Jan2019)I2080SW(followingmodelsincludedon14Jan2019)I2080SWHE(followingmodelsincludedon07Mar2019)24V2Q
4593,R-41073920,27-Sep-2017,"ShenzhenUserSpecialDisplayTechnologiesCo.,LtdFLOOR1,FLOOR3,FLOOR4,BUILDING7.XINXINTIANINDUSTRIALPARK,XINSHAROADSHAJINGSTREET,BAO'ÁN,SHENZHENCITY,CHINA-518104",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VISUALDISPLAYUNIT),Operative,26-Sep-2021,-,SIGNPOST,"AD6501,AD65C,US-AD860WLW"
4594,R-41003285,18-Dec-2013,"TPVELECTRONICS(FUJIAN)CO.LTD.,SHANGZHEN,YUANHONGROAD,FUQINGCITY,FUJIANPROVINCE,FUZHOUCITYPRCHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VISUALDISPLAYUNIT),Operative,17-Dec-2024,,PHILIPS,"BDL4671VL,BDL4650EL,BDL4271VL,BDL4250EL(followingmodelsincludedon07Jan2014)BDL5551EL,BDL5587XL,BDL6520EL(followingmodelsincludedon20Mar2014)BDL4677XL,BDL4678XL,BDL5586XL(followingmodelsincludedon03Apr2014)BDL5586XH(followingmodelsincludedon01May2014)BDL5520QL,BDL4220QL,BDL4620QL,BDL3220QL(followingmodelsincudedon14Aug2014)BDL5560EL(followingmodelsincludedon22Aug2014)BDL4254ET,BDL4677XH(followingmodelsincludedon20Aug2015)BDL4330QL(followingmodelsincludedon27Aug2015)BDL4830QL(followingmodelsincludedon09Feb2016)BDL3230QL(followingmodelsincludedon4Apr2016)BDL4777XL(followingmodelsincludedon25Jul2016)BDL5590VL,BDL5570EL(followingmodelswithdrawnon20May2019)BDL6520QL,BDL3220QL,BDL5587XL,BDL5560ELBDL4254ET,BDL4678XL,BDL5570EL,BDL4777XL,BDL6520ELBDL4677XL,BDL5588XL,BDL5586XLBDL5586XHBDL5520QL,BDL5590VL"
4595,R-41002054,04-Oct-2013,"CHILINTECHNOLOGYCO.LTD.NO.71,TELUNRD.RENDEDISTRICT,TAINANCITY,717,TAIWAN",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VISUALDISPLAYUNIT),Expired,03-Oct-2015,,Christie,"FHD551-XG,FHD551-X(followingmodelsincludedon23Dec2013)FHD551W(followingmodelsincludedon28Dec2013)FHD461-X,FHD461-XG"
4596,R-41002127,10-Oct-2013,"QISDAOPTRONICS(SUZHOU)CO.LTD.,NO.169,ZHUJIANGROAD,NEWDISTRICTSUZHOU,JIANGSU,215129P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VISUALDISPLAYUNIT),Expired,09-Oct-2015,,BenQ,RM650
4597,R-41004430,15-Jan-2014,"SAMPOCORPORATIONLTDTUCHENGFACTORY,NO.55,ZHONGCHENGRD.,TUCHENGDIST.,NEWTAIPEICITY236,TAIWAN(R.O.C.)",IS13252(Part1):2010/IEC60950-1:2005,LCDMONITOR(VISUALDISPLAYUNIT),Expired,14-Jan-2016,,SAMPO,"LMP-65FADM,PME42MAW,LMP-42FASMW"
4598,R-41066141,11-May-2017,FIMIS.r.l.VIASAULBANFI121047SARONNO(VA)ITALY,IS13252(Part1):2010/IEC60950-1:2005,LCDMontior,Operative,10-May-2021,-,Philips,CV56DS
4599,R-41098922,23-Aug-2018,"AopenInformationProducts(Zhongshan)Inc.K1,NO.38,EASTTECHNOLOGYROAD,TORCHDEVELOPMENTZONE,ZHONGSHANCITY,GUANGDONG,CHINA-528437",IS13252(Part1):2010/IEC60950-1:2005,LCDPC(AutomaticDataProcessingMachine),Operative,22-Aug-2020,-,AOPEN&DEVICE,WT15M-FW
4600,R-41080608,09-Jan-2018,"MAXELLDIGITALPRODUCTSCHINACO.LTD98DONGSHANROAD,GUSHANFUZHOU,FUJIAN,CHINAP.O.350014",IS13252(Part1):2010/IEC60950-1:2005,LCDProjector,Expired,08-Jan-2020,-,HITACHI,"CP-X8170,CP-WX8240,CP-WX8255,CP-WU8450,CP-SX8350,CP-WU8460,CP-WX8265,CP-WU8461,CP-X8800W,CP-WX8750W,CP-WU8700W,CP-WU8600W,CP-WX8650W,CP-X9110,CP-WX9210,CP-WU9410,CP-HD9321,CP-HD9320,CP-HD9950B,CP-WU9100B,CP-TW3005;CP-TW2505,CP-AX2505,CP-AX3005,CP-AX3505,CP-AW2505,CP-AW3005,CP-WX3541WN,CP-CX301WN,CP-CX251N,CP-CW301WN,CP-CW251WN,CP-BX301WN,CP-BW301WN,CP-EX302N,CP-EW302N,CP-EX252N,LP-WU3500,CP-X5022WN,CP-X5550,CP-WX5500,CP-WU5500,CP-RX250,ED-27X,CP-WX4042WN,CP-WX3042WN,CP-X4042WN,CP-X3042WN,CP-X2542WN,CP-EX402,CP-EX302,CP-EW302,CP-EX252,ED-32X,CP-X8150,CP-X8160(followingmodelsincludedon24Jan2018)CP-X3542WN(followingmodelsincludedon03Apr2018)CP-EX5001WN,CP-EW5001WN,CP-EU4501WN(followingmodelsincludedon10Apr2018)CP-WU5506M,CP-WX5506M(Changednamefromold""HITACHIDIGITALPRODUCTSCHINACO.LTD""w.e.f.20Jun2018)(followingmodelsincludedon31Jul2018)CP-TW3506(followingmodelsincludedon17Sep2018)CP-EW3051WN,CP-EW3551WN,CP-EW4051WN,CP-EX303,CP-EX3051WN,CPEX353,CP-EX3551WN,CP-EX4551WN(followingmodelsincludedon18Sep2018)CP-AW3506(followingmodelsincludedon01Nov2018)CP-EU5001WN(followingmodelsincludedon02Nov2018)LP-AW3001,LP-AW4001,LP-AX3001,LP-TW3001,LP-TW4001(followingmodelsincludedon16Nov2018)LP-EU5002,LP-EW5002,LP-EX5002(followingmodelsincludedon28Jun2019)LP-WX3500"
4601,R-41003150,19-Dec-2013,"SHENZHENACTODIGITALVIDEOECHNOLOGYCO.LTD.,3/F,BUILDINGNO.7,SOFTWAREPARK,KEJIMIDDLE,2NDRD.,HIGH-TECHZONE,SHENZHEN,CHINAPIN518057",IS13252(Part1):2010/IEC60950-1:2005,LCDPROJECTOR,Expired,18-Dec-2015,,LG,"BD450,BD460,BD470"
4602,R-41006025,04-Mar-2014,"QISDAOPTRONICS(SUZHOU)CO.LTDNO.169,ZHUJIANGROAD,NEWDISTRICTSUZHOU,JIANGSU215129P.R.CHINA",IS13252(Part1):2010/IEC60950-1:2005,LCDPROJECTOR,Expired,03-Mar-2018,,HITACHI,"CP-DX300,CP-DX250(followingmodelsincludedon28Apr2014)CP-DH300(DLPProjector)(followingmodelsincludedon8Dec2015)CP-DX351,CP-DX301"
4603,R-41017744,31-Jul-2015,"SEIKOEPSONCORPORATIONYOYOSHINABRANCH,6925,TOYSHINATAZAWA,AZUMINO-SHINAGANOKENJAPAN3998285JAPAN",IS13252(Part1):2010/IEC60950-1:2005,LCDPROJECTOR,Expired,30-Jul-2017,,EPSON,EH-LS10000(H488C)
